primaryTitle,titleType,genres,directors,writers,averageRating,numVotes,actors,original_language,production_companies,release_date,budget,revenue,runtime,keywords,trailer_views,trailer_likes
How I Ended This Summer,movie,Drama,Alexei Popogrebsky,Alexei Popogrebsky,6.9,7060.0,"Artyom Tsukanov,Igor Chernevich,Sergey Puskepalis,Ilya Sobolev,Grigory Dobrygin",ru,Koktebel Film Company,2010-02-17,2500000.0,622644.0,124.0,isolation-radiation-radio-metereologist-arctic polar circle region-desolation-very little dialogue,88012.7416032814,209504.8553566197
The Commuter,movie,"Action,Mystery,Thriller",Jaume Collet-Serra,"Byron Willinger,Philip de Blasi,Ryan Engle",6.3,128996.0,"Pat Reid,Nicole Agada,Clara Lago,Timothy Spall,Sam Neill,Rudi Dharmalingam,Robi Kemp,Anthony Boyle,Jonathan Banks,Chase Armitage,Pamela Anderson,Rebecca Manley,Tuppence Middleton,Killian Scott,Liam Neeson,Dev Patel,Anne Reid,Sam Parnham,Ann Akinjirin,Anya Lahiri,Patrick Wilson,Mia Rome,Rebecca Birch,Tom So,Shazad Latif,Vera Farmiga,Charles Dance,Ed Westwick,Elizabeth McGovern,Hayley Squires,Jake Garner,Michael Wilson,Alex Tompkins,Daniel Godward,Daniel Chandler,Andy Nyman",en,Canal+-TF1 Films Production-StudioCanal-Lionsgate-Ciné+-China Film Group Corporation-Pinewood Studios-Ombra Films-Bona Film Group-The Picture Company,2018-01-11,30000000.0,11994238.7,104.0,conspiracy-train,7536181.742646222,3632842.375152708
Insidious,movie,"Horror,Mystery,Thriller",James Wan,Leigh Whannell,6.8,351102.0,"Garth Wynne-Jones,Angus Sampson,Brenda Cooney,Sarah Lynn Dawson,Nick Jermyn,Lin Shaye,Julian Grant,Lou Martini Jr.,Mark Connelly,Andrew Astor,Barbara Hershey,Zoltan Szalas,Jessie Lifton,Lily Fortin,Heather Tocquigny,Rick Vargas,Michael Oberholtzer,John Campbell-Mac,James Schram,Peter Claymore,Neal Kumar,Patrick Wilson,Scott Butler,Karen Sours Albisua,Katya Zakharova,Douglas Rainey,Roy Anderson,Leigh Whannell,Megan Corry,Elisabeth Steen-Nokleberg,Augustus Diorio,Anthony Licardello,Corbett Tuck,Rose Byrne,Theresa June-Tao,Ty Simpkins",en,Alliance Films-Blumhouse Productions-FilmDistrict-IM Global-Stage 6 Films-Haunted Movies,2010-09-13,1500000.0,9700915.0,103.0,medium-evil spirit-house warming-aftercreditsstinger-supernatural power,5651153.656479558,3789140.6989221694
Act of Valor,movie,"Action,Adventure,Thriller","Mike McCoy,Scott Waugh",Kurt Johnstad,6.4,72819.0,"Weimy,Rorke Denver,Dave,Ernest Manson,Ray Mendoza,Mikey,Nestor Serrano,Roselyn Sanchez,Ajay James,Alex Veadov",en,Bandito Brothers,2012-02-24,12000000.0,8127276.6,110.0,submarine-navy-scuba diving-heroism-u.s. navy seal-military life-valor-terrorist plot-navy life-national security-pregnant wife-silver star-counter plot-duringcreditsstinger,4525653.202122614,3691552.686540443
The Killing of Jacob Marr,movie,Horror,Brad Rego,Brad Rego,4.3,298.0,"Josh Bednarsky,Brandon Beilis,Oleg Ossayenko,Alyssa Mann,Felicia Greenfield,Samantha Cooper,Elizabeth Drake,Gerard J. Savoy,Morgan White,Chris Keating",en,221 Films,2010-10-01,0.0,15500.0,110.0,,3995.458769620802,3803.4501490455887
Cousinhood,movie,"Comedy,Drama,Romance","Daniel Sánchez Arévalo,Raúl Arévalo",Daniel Sánchez Arévalo,6.6,5273.0,"Inma Cuesta,Adrián Lastra,Cayetana Cabezas,Alicia Rubio,Quim Gutiérrez,Raúl Arévalo,Clara Lago,Antonio de la Torre,Marcos Ruiz,Núria Gago",es,AXN-Atípica Films,2011-02-04,0.0,3879603.0,98.0,cousin-village-family-first love-fake wedding,1062270.9424217634,1611371.7284079583
Lockout,movie,"Action,Sci-Fi,Thriller","James Mather,Steve Saint Leger","James Mather,Steve Saint Leger,Luc Besson,John Carpenter,Nick Castle",6.0,102012.0,"Barry Shepherd,Salomón Carmona,Brent Antonello,Peter Lalush,Sergey Islamov,Adam Zeidy,Nash Herrington,Kaidy Kuna,Matvey Bulkovskiy,Eddy Kariti,Lance Moose,Ted McGinley,Microsoft Sam,Joe Gilgun,Kimberly Elise,Andrew Sloth,Darren Criss,Sergey Chernokhatov,Logan Browning,Jenny Sanchez,Maggie Grace,Peter Stormare,Taylour Paige,Jonathan McDaniel,Valery M. Ortiz,Vladimir Titov,Khary Payton,Spirit Phipps,Michael Brouillet,Tim Plester,Robert Christopher Riley,Max Da'Silva,Eric Bauza,Kris Desautels,Denise Coffey,Mike Rowe,McKinley Freeman,James Austin Ridley,Will Friedle,Claire Lanay,Gil Gerard,Bryan Turner,Mahedi Rakib,Anne-Solenne Hatte,Chris Margetis,Mark Tankersley,Lennie James,Vincent Regan,Andrew Trudeau,Troy Baker,Jacky Ido,Adam Senn,Guy Pearce,Cyn Dulay,Constance Zimmer,Jon Graham,Mitchell Whitfield,Microsoft Mike,Julie Stevens,Shane Emmett,Katherine Bailess,Stuart Allan,Victoria Syuhina",en,EuropaCorp-Canal+-Ciné+-FilmDistrict-Digital Factory,2012-04-12,20000000.0,32948113.0,95.0,usa president-anti hero-dementia-future-space-convict-interrogation-space station-collision in space-2070s,8667461.71914534,13713655.87034442
LOL,movie,"Comedy,Drama,Romance",Lisa Azuelos,"Lisa Azuelos,Kamir Aïnouz,Nans Delgado",4.4,58972.0,"Damian Young,Janna Dominguez,Dave Reed,Demi Moore,Jim Carrane,Kristi Sakura,Kevin Bewersdorf,Laura Lippert,Lance Barber,Michael Olindo,Michael V.,Joe Swanberg,Matthew Marvin,Madeleine Martin,Manal Belhaj,Madeline Zima,Chariz Solomon,Vivian Le Borgne,Woody Carter,Jasmine Fontes,Jean-Luc Bilodeau,Sam White,David Duchovny,Adhisty Zara,Sam Weisman,Mosang,Lane Webber,Jake Vargas,Jake Madsen,Tipper Newton,Evan Handler,Bridget Brown,Pras Mulya,Amine Talidi,Manilyn Reynes,Brigid Reagan,Greta Gerwig,Kate Winterich,Tyler R. Jenkins,John Feir,Amy Price-Francis,C. Mason Wells,Nathan Adloff,Ashley Greene,Felix Dayan,Daffa Wardhana,Spencer Barbosa,Jerome Kurnia,Miley Cyrus,Arthur Solinap,Pamela Adlon,Rachel Miner,Angel Satsumi,Tehya Silbermann,Richard Jenkins Jr.,Alistair McKenzie,Ronnie Henares,Shyla Partleton,Jules LeBlanc,Connor Donahue,Ibtissam Laaroussi,Douglas Booth,Lauren Cohen,Natascha McElhone",en,Double Feature Films-Mandate Pictures-Lionsgate-PIC Agency-Lol Productions,2012-02-10,11000000.0,10500000.0,97.0,coming of age-teen movie-based on movie-working mom-woman director-mother daughter relationship-teenager,746090.4630072576,2678170.3916887445
The Innkeepers,movie,"Drama,Horror,Mystery",Ti West,Ti West,5.5,38277.0,"George Riddle,John Mahoney,Brenda Cooney,Jake Ryan,Mike Nussbaum,Lena Dunham,Kelsey Grammer,Jane Leeves,Kelly McGillis,John Speredakos,Sara Paxton,Alison Bartlett,David Hyde Pierce,Nathan Davis,Diedrich Bader,Pat Healy,Edward Hibbert,Dan Butler,Peri Gilpin,Sean Reid",en,Glass Eye Pix-Dark Sky Films,2011-08-18,750000.0,78396.0,101.0,anti terror-hotel-beer-supernatural-connecticut-towel-inn-phone-whispering,57966.10650157384,18362.292048297124
Norm of the North,movie,"Adventure,Animation,Comedy","Trevor Wall,Lisa Ortiz","Malcolm T. Goldman,Steven Altiere,Daniel Altiere",3.4,10387.0,"Gabriel Iglesias,Mat Brunet,Malcolm Ray,Caelan Cavanagh,Tamara Chambers,Colm Meaney,Bill Nighy,Sean Moore,Doug Walker,Heather Graham,Rob Schneider,Salome Jens,Maya Kay,Michael McElhatton,James Jarosz,Loretta Devine,John Enter,Connor Asher,Ken Jeong",en,Lionsgate-Splash Entertainment-Telegael-Assemblage Entertainment,2016-01-14,7000000.0,17062499.0,86.0,new york city-polar bear-arctic polar circle region-computer animation-avalanche-stereoscopic-lemmings-arctic,5266687.805631379,6931275.909293147
What Men Talk About,movie,Comedy,Dmitriy Dyachenko,"Leonid Barats,Sergey Petreykov,Rostislav Khait",7.5,7017.0,"Kamil Larin,Konstantin Chepurin,Anna Kasatkina,Rostislav Khait,Sayart Abadzhyan,Artyom Fadeev,Zhanna Friske,Nina Ruslanova,Aleksandr Demidov,Leonid Barats",ru,Central Partnership-Strela-Square Film Company,2010-03-04,1950000.0,12005838.0,93.0,thirty something,838813.4410906094,4173213.617544107
To the Wonder,movie,"Drama,Romance",Terrence Malick,Terrence Malick,5.8,30383.0,"Xiaojuan Huang,Yiran Zhou,Yili Ma,Yunhe Yi,Badema,Charles Baker,Olga Kurylenko,Tatiana Chiline,Alima,Tony O'Gans,Casey Williams,Rachel McAdams,Yosh Yu,Ben Affleck,Romina Mondello,Yu-Long Zhang,Javier Bardem,Marshall Bell,Peilun Yan,Qiming Jiang",en,Brothers K Productions-Redbud Pictures,2012-09-02,0.0,587615.0,112.0,montmartre-narration,98389.88034286335,200342.33810988613
Fast Five,movie,"Action,Crime,Thriller",Justin Lin,"Chris Morgan,Gary Scott Thompson",7.3,418471.0,"Ludacris,Joshua Grey,Matt Schulze,Vin Diesel,Gal Gadot,Tyrese Gibson,Paul Walker,Dwayne Johnson,Jordana Brewster,Sung Kang,Mathew Buck,Tego Calderon",en,Original Film-Universal Pictures-One Race,2011-04-20,125000000.0,62613767.5,130.0,car race-fbi-freedom-escaped convict-street race-prison escape-car crash-heist-organized crime-on the run-money-fugitive-police chase-duringcreditsstinger,20009059.094457813,2543295.931203352
Soul Surfer,movie,"Biography,Drama,Family",Sean McNamara,"Sean McNamara,Deborah Schwartz,Douglas Schwartz,Michael Berk,Matt Allen,Caleb Wilson,Brad Gann,Bethany Hamilton,Sheryl Berk,Rick Bundschuh",7.0,54241.0,"Ross Thomas,Chris Brochu,Lorraine Nicholson,Jeremy Sumpter,Dennis Quaid,Carrie Underwood,AnnaSophia Robb,Helen Hunt,Sonya Balmores,Kevin Sorbo",en,TriStar Pictures-Brookwell-McNamara Entertainment-Mandalay Vision-FilmDistrict-Island Film Group-Enticing Entertainment-Life's a Beach Entertainment,2011-04-08,18000000.0,47088990.0,112.0,based on novel or book-depression-beach-surfer-hawaii-surfboard-shark attack-thailand-comeback-surfing-bikini-volunteer-based on true story-family relationships-hospital-doctor-based on memoir or autobiography-shark-prosthetic arm-swimsuit-christian film-christian-surfing contest-female surfer-severed arm,5736851.031063765,11781250.34333268
This Means War,movie,"Action,Comedy,Romance",McG,"Timothy Dowling,Simon Kinberg,Marcus Gautesen",6.3,196999.0,"John Paul Ruttan,Bryan Weiser,Aaron Alexander Gordon,Mathew Buck,Rylie Coe,Alex Thomas-Smith,Shannon Coulter,Kolton Stewart,Tom Hardy,Nadine Bhabha,Rachel Bailit,Chris Bryant,Rosemary Harris,Chris Locke,Christopher Pickhardt,Bram Bessoff,Rebecca Hanssen,Itay Gofman,Angela Bassett,John Gurierrez,Chris Pine,Rae Latt,Boris Diaz,Madisen Hill,Erica Rahola,Adam Lindo,George Touliatos,Til Schweiger,Billy Flynn,Chelsea Handler,Jackée Harry,Sulaiman Lee,Marli Siu,Sofia Banzhaf,Jasmine Luv,Brennan Murray,David Persiva,Rachel Lenchner,Jessica Holmes,Mike Rowe,Rome Green Jr.,Dwayne Parker,Annette Pascal,Zoe Cleland,Declan Wyer,Sean Cancellieri,Edward Gelhaus,Sandra Battaglini,Dexter Elkin,Vieslav Krystyan,Adam W.,Grace Hinson,Hannah Emerson,Christie Clark,Ben Burrow,Reese Witherspoon,Darren Strange,Chandler Storm,Drake Hogestyn,Deidre Hall,LaTaurias Kai Brown,Ruby Bustamante,Olivia Dunkley,Shireen Azarmi,Abigail Spencer,Omar Corominas,Scott Folan,Jeanne Carr,Rhianne Barreto,Michael deLara,Hailey Graves Tucker,Jordan Coleman,Jeffry Mora,Jonathan Brownell,Aaron Poole,Michelle Andrews,Eden Mader,Graham Outerbridge,Lamon Archey,Jason James,Ryan W. Garcia,Agostina Longo,Constantin Tripes,Daniela Hummel,Olivia Blissett,Chance Mullen,Thai Edwards,Neema Nazeri,Abigail Jolie,Denise Tapscott,Mollie Lambert",en,Dune Entertainment-Overbrook Entertainment-Robert Simonds Productions,2012-02-14,65000000.0,15697455.7,98.0,love triangle-friendship-dating-sushi bar-exploding airplane-online dating-karate class-animal shelter,7957737.794750001,3679992.231540822
The Big Short,movie,"Biography,Comedy,Drama",Adam McKay,"Charles Randolph,Adam McKay,Michael Lewis",7.8,505873.0,"Matt Ryan,Ryan Gosling,Casey Groves,Harold Gervais,Brad Pitt,Hunter Burke,Maria Frangos,Rudy Eisenzopf,Charlie Talbert,Steve Carell,Christian Bale,Stephen Lomer",en,Plan B Entertainment-Paramount-Regency Enterprises,2015-12-11,28000000.0,13334650.6,131.0,bank-fraud-biography-wall street-finances-based on true story-animated scene-historical fiction-loan-financial crisis-real estate-mortgage,3873231.2078661607,3823653.9275573343
The Woman in Black,movie,"Drama,Fantasy,Horror",James Watkins,"Susan Hill,Jane Goldman",6.4,196133.0,"David Ryall,Maurice Costello,Adrian Rawlins,Donald Douglas,Molly Harmon,Carlos Rivero,Barry Sullivan,Wendy Powell,Hossein Turner,Alan Hale,David Daker,Clare Holman,Robert McCollum,Corrina Salkeld,Christopher Villiers,Jessica Raine,Marie Newton,Bernard Hepton,Millicent Evans,Ricky Vera,June Barry,Jack Drumier,Raj Patel,Adele Mara,Dusty Feeney,John Franklyn-Robbins,David Futcher,Valentin de Vargas,Daniel Radcliffe,Tim Brierley,Ellisa Walker-Reid,Clu Gulager,R. Bruce Elliott,Lionel Barrymore,Gregory Morton,Gladden James,Mrs. Lawrence Marston,Joe Heath,Fiona Walker,Herbert Rawlinson,Frank Evans,Edna Maison,Pauline Moran,Mallorie Rodak,Frank Lloyd,William Worthington,Hector V. Sarno,Tom Chatto,Mary Charleson,Brian Orrell,Emma Shorey,Janet McTeer,Guy Henry,Lewis Fiander,Roger Allam,Chris Guerrero,William Simons,Misha Handley,Jad Saxton,Cris George,John Cater,Ian Sinclair,Ciarán Hinds,Zeno Robinson,Sophie Stuckey,Charles Hill Mailes",en,Exclusive Media-Hammer Film Productions-UK Film Council-Alliance Films-Talisman Productions-Cross Creek Pictures-Filmgate Films-Film i Väst,2012-02-03,17000000.0,12773073.6,95.0,london england-remake-revenge-dead child-lawyer-photograph-gothic horror-period drama-super power-estate-ghost,1865674.3553581585,5270708.481412377
Salinger,movie,Documentary,Shane Salerno,\N,6.7,2735.0,"Kimberly Wineski,Michael Lopetrone,Christopher Madden,Chelsea Woolman,Eddie Barnwell",en,The Story Factory,2013-09-06,2000000.0,650675.0,125.0,new york city-based on novel or book-world war ii-biography-older man younger woman relationship-docudrama-traumatic experience-male writer-portrait of an artist-us writer,11930.42366584952,230957.60323689843
